sdrmgr:OMMOID=irpx8xyj-2@sbn=110@NodeMe=0,Equipment=1,rack=1,shelf=1,board=1|5|RX   -ANT0; 1,N|20420
sdrmgr:OMMOID=irpx8xyj-2@sbn=110@NodeMe=0,Equipment=1,rack=1,shelf=1,board=1|3|b9:fd:ce:c2|20420
sdrmgr:OMMOID=irpx8xyj-2@sbn=110@NodeMe=0,Equipment=1,rack=1,shelf=1,board=1|3|b8:c9:bd:d3:b5:e3:ba:c5:3a:20:36:35:35:33:36:30:30:3b:20:31:2c:33:3b:20:54:44:53:3a:20:d0:a1:c7:f8:49:44:3d:33:26:43:50:3d:31:2c:20:d0:a1:c7:f8:49:44:3d:34:26:43:50:3d:32|20420
sdrmgr:OMMOID=irpx8xyj-2@sbn=110@NodeMe=0,Equipment=1,rack=51,shelf=1,board=1|5|b9:e2:bf:da:31:b6:d4:d3:a6:b5:c4:c9:cf:c1:aa:b9:e2:bf:da:3a:b9:e2:bf:da:33:b6:d4:d3:a6:b5:c4:c9:cf:c1:aa:b9:e2:bf:da:3a:b9:e2:bf:da:35:b6:d4:d3:a6:b5:c4:c9:cf:c1:aa:b9:e2:bf:da:3a:b9:e2:bf:da:37:b6:d4:d3:a6:b5:c4:c9:cf:c1:aa:b9:e2:bf:da:3a:b9:e2:bf:da:39:b6:d4:d3:a6:b5:c4:c9:cf:c1:aa:b9:e2:bf:da:3a:b9:e2:bf:da:31:31:b6:d4:d3:a6:b5:c4:c9:cf:c1:aa:b9:e2:bf:da:3a:4d:43:55:c6:f4:b6:af:c2:b7:be:b6:b5:c4:d7:ee:ba:f3:c8:fd:b2:bd:a3:ba:31:33:2c:20:31:34:2c:20:31:35|20420
sdrmgr:OMMOID=irpx8xyj-2@sbn=110@NodeMe=0,Equipment=1,rack=1,shelf=1,board=1|4||20420
sdrmgr:OMMOID=irpx8xyj-2@sbn=110@NodeMe=0,Equipment=1,rack=1,shelf=1,board=1|2|ce:b4:bd:d3:ca:d5:b5:bd:b9:e2:d0:c5:ba:c5:2c:20:b9:e2:bf:da:33:b6:d4:d3:a6:b5:c4:c9:cf:c1:aa:b9:e2:bf:da|20420
sdrmgr:OMMOID=irpx8xyj-2@sbn=110@NodeMe=0,Equipment=1,rack=1,shelf=1,board=1|5|ca:e4:c8:eb:b8:c9:bd:d3:b5:e3:30|20420
sdrmgr:OMMOID=irpx8xyj-2@sbn=110@NodeMe=0,Equipment=1,rack=1,shelf=1,board=1|3|b8:c9:bd:d3:b5:e3:ba:c5:3a:20:30|20420
sdrmgr:OMMOID=irpx8xyj-2@sbn=110@NodeMe=0,Equipment=1,rack=1,shelf=1,board=1|5|d2:ec:b3:a3:c1:b4:c2:b7:ba:c5:3a:20:31|20420
sdrmgr:OMMOID=irpx8xyj-2@sbn=110@NodeMe=0,Equipment=1,rack=51,shelf=1,board=1|5|TX-ANT1|20420
sdrmgr:OMMOID=irpx8xyj-2@sbn=110@NodeMe=357197|1|49:50:3a:20:31:30:30:2e:39:32:2e:31:33:34:2e:31:38:30:2c:20:4f:4d:43:cd:a8:b5:c0:d2:ec:b3:a3:3b:20:54:44:4c:20:65:4e:42:49:64:3a:33:35:37:31:39:37|20402
